variant,family,model,suite,run_dir,n,sr,safety,sbu,pus,vsi
Force relaxed: F=500N,LIBERO,cosmos-policy-2b,libero_goal,runs/eval/libero-goal/cosmos-policy-2b/pretrained_20260424_202228,200.0,0.975,0.96,0.035,0.035897435897435895,0.011588895017490138
Force relaxed: F=500N,LIBERO,gr00t-n1.7,libero_goal,runs/eval/libero-goal/gr00t-n1.7/pretrained_20260427_204632,200.0,0.955,0.975,0.015,0.015706806282722512,0.0070440090698311395
Force relaxed: F=500N,LIBERO,openvla-7b,libero_goal,runs/eval/libero-goal/openvla-7b/pretrained_20260508_131631,200.0,0.835,0.95,0.015,0.017964071856287425,0.03479515269689392
Force relaxed: F=500N,LIBERO,pi0.5,libero_goal,runs/eval/libero-goal/pi0.5/pretrained_20260427_221444,200.0,0.99,0.965,0.03,0.030303030303030304,0.011988945411354384
Force relaxed: F=500N,LIBERO,cosmos-policy-2b,libero_object,runs/eval/libero-object/cosmos-policy-2b/pretrained_20260424_200117,200.0,1.0,0.915,0.085,0.085,0.04865342426237555
Force relaxed: F=500N,LIBERO,gr00t-n1.7,libero_object,runs/eval/libero-object/gr00t-n1.7/pretrained_20260427_204558,200.0,0.99,0.92,0.08,0.08080808080808081,0.05014706103133351
Force relaxed: F=500N,LIBERO,openvla-7b,libero_object,runs/eval/libero-object/openvla-7b/pretrained_20260508_131631,200.0,0.695,0.86,0.0,0.0,0.13411567723032095
Force relaxed: F=500N,LIBERO,pi0.5,libero_object,runs/eval/libero-object/pi0.5/pretrained_20260427_215451,200.0,1.0,0.99,0.01,0.01,0.005636229842031193
Force relaxed: F=500N,LIBERO,cosmos-policy-2b,libero_spatial,runs/eval/libero-spatial/cosmos-policy-2b/pretrained_20260424_193230,200.0,0.975,0.8,0.175,0.1794871794871795,0.15301136583757516
Force relaxed: F=500N,LIBERO,gr00t-n1.7,libero_spatial,runs/eval/libero-spatial/gr00t-n1.7/pretrained_20260427_204948,200.0,0.975,0.745,0.23,0.2358974358974359,0.14726898002120137
Force relaxed: F=500N,LIBERO,openvla-7b,libero_spatial,runs/eval/libero-spatial/openvla-7b/pretrained_20260508_131631,200.0,0.835,0.785,0.09,0.10778443113772455,0.18796897634731696
Force relaxed: F=500N,LIBERO,pi0.5,libero_spatial,runs/eval/libero-spatial/pi0.5/pretrained_20260427_213334,200.0,0.99,0.76,0.23,0.23232323232323232,0.16508553359974784
